Film,Year,Lead Studio
A Dangerous Method,2011,Independent
WALL-E,2008,Disney
Tangled,2010,Disney
My Week with Marilyn,2011,The Weinstein Company
Across the Universe,2007,Independent
Midnight in Paris,2011,Sony
Knocked Up,2007,Universal
Twilight,2008,Summit
P.S. I Love You,2007,Independent
(500) Days of Summer,2009,Fox
